time,client_id,temperature,humidity
2019-07-31 22:08:55,node00,28.05,95.00
2019-07-31 22:13:30,node00,27.94,95.00
2019-07-31 22:15:19,node00,29.10,95.00
2019-07-31 22:16:14,node00,27.90,95.00
2019-07-31 22:18:57,node00,26.00,95.00
2019-07-31 22:19:53,node00,28.10,95.00
2019-07-31 22:24:29,node00,28.10,95.00
2019-07-31 22:25:23,node00,29.60,95.00
2019-07-31 22:26:18,node00,28.10,95.00
2019-07-31 22:29:01,node00,29.30,95.00
2019-07-31 22:29:55,node00,28.00,95.00
2019-07-31 22:34:27,node00,27.91,95.00
2019-07-31 22:38:59,node00,27.90,95.00
2019-07-31 22:43:31,node00,27.98,95.00
2019-07-31 22:48:03,node00,26.60,95.00
2019-07-31 22:48:58,node00,28.00,95.00
2019-07-31 22:50:46,node00,25.90,95.00
2019-07-31 22:51:41,node00,28.00,95.00
2019-07-31 22:52:35,node00,26.20,95.00
2019-07-31 22:53:30,node00,28.20,95.00
2019-07-31 22:54:24,node00,30.10,95.00
2019-07-31 22:55:19,node00,28.10,95.00
2019-07-31 22:59:51,node00,28.15,95.00
2019-08-01 01:42:41,node00,27.90,95.00
2019-08-01 01:47:13,node00,27.97,95.00
2019-08-01 01:51:45,node00,28.06,95.00
2019-08-01 01:56:17,node00,28.11,95.00
2019-08-01 01:58:06,node00,28.10,95.00
2019-08-01 02:02:38,node00,28.10,95.00
2019-08-01 02:07:10,node00,28.10,95.00
2019-08-01 02:08:59,node00,29.20,95.00
2019-08-01 02:09:53,node00,28.10,95.00
2019-08-01 02:14:25,node00,28.09,95.00
2019-08-01 02:18:57,node00,28.08,95.00
2019-08-01 02:20:46,node00,26.60,95.00
2019-08-01 02:21:41,node00,28.10,95.00
2019-08-01 02:26:12,node00,27.91,95.00
2019-08-01 02:30:44,node00,28.10,95.00
2019-08-01 02:31:39,node00,27.00,95.00
2019-08-01 02:32:33,node00,28.20,95.00
2019-08-01 02:37:05,node00,28.09,95.00
2019-08-01 02:41:37,node00,27.99,95.00
2019-08-01 02:46:09,node00,28.15,95.00
2019-08-01 02:50:41,node00,28.19,95.00
2019-08-01 02:55:13,node00,27.99,95.00
2019-08-01 02:59:45,node00,28.32,95.00
2019-08-01 03:04:17,node00,28.23,95.00
2019-08-01 03:08:49,node00,28.20,95.00
2019-08-01 03:13:21,node00,28.20,95.00
2019-08-01 03:17:53,node00,28.14,95.00
2019-08-01 03:22:25,node00,28.21,95.00
2019-08-01 03:26:57,node00,28.52,95.00
2019-08-01 03:30:35,node00,27.10,95.00
2019-08-01 03:31:29,node00,28.10,95.00
2019-08-01 03:36:01,node00,28.13,95.00
2019-08-01 03:40:33,node00,27.20,95.00
2019-08-01 03:45:05,node00,28.19,95.00
2019-08-01 03:49:37,node00,28.20,95.00
2019-08-01 03:54:09,node00,28.19,95.00
2019-08-01 03:58:41,node00,28.30,95.00
2019-08-01 04:03:13,node00,28.16,95.00
2019-08-01 04:06:51,node00,29.40,95.00
2019-08-01 04:07:45,node00,28.10,95.00
2019-08-01 04:12:17,node00,28.18,95.00
2019-08-01 04:16:49,node00,28.14,95.00
2019-08-01 04:21:21,node00,28.14,95.00
2019-08-01 04:25:53,node00,28.15,95.00
2019-08-01 04:30:25,node00,28.20,95.00
2019-08-01 04:34:57,node00,28.09,95.00
2019-08-01 04:36:46,node00,29.70,95.00
2019-08-01 04:37:40,node00,28.20,95.00
2019-08-01 04:39:29,node00,26.30,95.00
2019-08-01 04:40:24,node00,28.20,95.00
2019-08-01 04:44:56,node00,28.19,95.00
2019-08-01 04:48:33,node00,27.10,95.00
2019-08-01 04:49:28,node00,28.20,95.00
2019-08-01 04:52:11,node00,27.00,95.00
2019-08-01 04:53:06,node00,28.20,95.00
2019-08-01 04:54:54,node00,30.00,95.00
2019-08-01 04:55:49,node00,28.20,95.00
2019-08-01 05:00:21,node00,28.21,95.00
2019-08-01 05:04:53,node00,28.22,95.00
2019-08-01 05:09:25,node00,28.29,95.00
2019-08-01 05:13:57,node00,28.21,95.00
2019-08-01 05:18:28,node00,28.23,95.00
2019-08-01 05:21:12,node00,26.60,95.00
2019-08-01 05:22:06,node00,28.20,95.00
2019-08-01 05:23:55,node00,27.20,95.00
2019-08-01 05:24:49,node00,28.20,95.00
2019-08-01 05:29:21,node00,28.20,95.00
2019-08-01 05:33:53,node00,29.40,95.00
2019-08-01 05:34:48,node00,28.30,95.00
2019-08-01 05:39:20,node00,28.28,95.00
2019-08-01 05:43:52,node00,28.21,95.00
2019-08-01 08:32:36,node00,28.27,95.00
2019-08-01 08:33:30,node00,30.20,95.00
2019-08-01 08:34:24,node00,28.30,95.00
2019-08-01 08:36:13,node00,30.10,95.00
2019-08-01 08:37:07,node00,28.30,95.00
2019-08-01 08:38:02,node00,27.10,95.00
2019-08-01 08:42:34,node00,28.24,95.00
2019-08-01 08:47:06,node00,28.33,95.00
2019-08-01 08:51:38,node00,28.30,95.00
2019-08-01 08:56:10,node00,28.31,95.00
2019-08-01 09:00:42,node00,28.40,95.00
2019-08-01 09:01:36,node00,30.20,95.00
2019-08-01 09:02:31,node00,28.40,95.00
2019-08-01 09:03:25,node00,27.00,95.00
2019-08-01 09:04:20,node00,28.40,95.00
2019-08-01 09:05:14,node00,27.20,95.00
2019-08-01 09:06:09,node00,28.40,95.00
2019-08-01 09:07:57,node00,30.00,95.00
2019-08-01 09:08:52,node00,28.50,95.00
2019-08-01 09:13:24,node00,28.30,95.00
2019-08-01 09:17:57,node00,28.36,95.00
2019-08-01 09:22:29,node00,27.00,95.00
2019-08-01 09:23:24,node00,28.40,95.00
2019-08-01 09:27:55,node00,28.38,95.00
2019-08-01 09:28:50,node00,29.70,95.00
2019-08-01 09:29:44,node00,28.40,95.00
2019-08-01 09:34:16,node00,28.44,95.00
2019-08-01 09:38:48,node00,28.49,95.00
2019-08-01 09:40:37,node00,30.20,95.00
2019-08-01 09:41:31,node00,28.50,95.00
2019-08-01 09:46:04,node00,28.50,95.00
2019-08-01 09:50:35,node00,28.42,95.00
2019-08-01 09:55:08,node00,28.51,95.00
2019-08-01 09:59:41,node00,28.43,95.00
2019-08-01 10:04:13,node00,28.83,95.00
2019-08-01 10:08:45,node00,28.50,95.00
2019-08-01 10:10:34,node00,27.50,95.00
2019-08-01 10:11:29,node00,28.50,95.00
2019-08-01 10:14:12,node00,26.40,95.00
2019-08-01 10:15:07,node00,28.60,95.00
2019-08-01 10:19:38,node00,28.53,95.00
2019-08-01 10:22:22,node00,26.50,95.00
2019-08-01 10:23:16,node00,28.50,95.00
